site_no,date,time,discharge_cfs
12045500,3/30/2025,3:15,2780
12045500,3/30/2025,3:30,2740
12045500,3/30/2025,3:45,2770
12045500,3/30/2025,4:00,2710
12045500,3/30/2025,4:15,2770
12045500,3/30/2025,4:30,2730
12045500,3/30/2025,4:45,2740
12045500,3/30/2025,5:00,2750
12045500,3/30/2025,5:15,2740
12045500,3/30/2025,5:30,2710
12045500,3/30/2025,5:45,2700
12045500,3/30/2025,6:00,2700
12045500,3/30/2025,6:15,2700
12045500,3/30/2025,6:30,2700
12045500,3/30/2025,6:45,2700
12045500,3/30/2025,7:00,2700
12045500,3/30/2025,7:15,2680
12045500,3/30/2025,7:30,2670
12045500,3/30/2025,7:45,2680
12045500,3/30/2025,8:00,2630
12045500,3/30/2025,8:15,2680
12045500,3/30/2025,8:30,2670
12045500,3/30/2025,8:45,2660
12045500,3/30/2025,9:00,2670
12045500,3/30/2025,9:15,2660
12045500,3/30/2025,9:30,2640
12045500,3/30/2025,9:45,2630
12045500,3/30/2025,10:00,2630
12045500,3/30/2025,10:15,2640
12045500,3/30/2025,10:30,2660
12045500,3/30/2025,10:45,2620
12045500,3/30/2025,11:00,2630
12045500,3/30/2025,11:15,2630
12045500,3/30/2025,11:30,2600
12045500,3/30/2025,11:45,2590
12045500,3/30/2025,12:00,2590
12045500,3/30/2025,12:15,2620
12045500,3/30/2025,12:30,2590
12045500,3/30/2025,12:45,2590
12045500,3/30/2025,13:00,2600
12045500,3/30/2025,13:15,2590
12045500,3/30/2025,13:30,2580
12045500,3/30/2025,13:45,2580
12045500,3/30/2025,14:00,2590
12045500,3/30/2025,14:15,2580
12045500,3/30/2025,14:30,2580
12045500,3/30/2025,14:45,2540
12045500,3/30/2025,15:00,2580
12045500,3/30/2025,15:15,2550
12045500,3/30/2025,15:30,2580
12045500,3/30/2025,15:45,2540
12045500,3/30/2025,16:00,2550
12045500,3/30/2025,16:15,2550
12045500,3/30/2025,16:30,2550
12045500,3/30/2025,16:45,2540
12045500,3/30/2025,17:00,2510
12045500,3/30/2025,17:15,2540
12045500,3/30/2025,17:30,2540
12045500,3/30/2025,17:45,2480
12045500,3/30/2025,18:00,2510
12045500,3/30/2025,18:15,2520
12045500,3/30/2025,18:30,2510
12045500,3/30/2025,18:45,2500
12045500,3/30/2025,19:00,2500
12045500,3/30/2025,19:15,2500
12045500,3/30/2025,19:30,2480
12045500,3/30/2025,19:45,2470
12045500,3/30/2025,20:00,2480
12045500,3/30/2025,20:15,2460
12045500,3/30/2025,20:30,2470
12045500,3/30/2025,20:45,2470
12045500,3/30/2025,21:00,2470
12045500,3/30/2025,21:15,2470
12045500,3/30/2025,21:30,2460
12045500,3/30/2025,21:45,2470
12045500,3/30/2025,22:00,2470
12045500,3/30/2025,22:15,2460
12045500,3/30/2025,22:30,2420
12045500,3/30/2025,22:45,2460
12045500,3/30/2025,23:00,2460
12045500,3/30/2025,23:15,2430
12045500,3/30/2025,23:30,2440
12045500,3/30/2025,23:45,2440
12045500,3/31/2025,0:00,2430
12045500,3/31/2025,0:15,2440
12045500,3/31/2025,0:30,2430
12045500,3/31/2025,0:45,2460
12045500,3/31/2025,1:00,2430
12045500,3/31/2025,1:15,2420
12045500,3/31/2025,1:30,2430
12045500,3/31/2025,1:45,2420
12045500,3/31/2025,2:00,2400
12045500,3/31/2025,2:15,2390
12045500,3/31/2025,2:30,2400
12045500,3/31/2025,2:45,2400
12045500,3/31/2025,3:00,2400
12045500,3/31/2025,3:15,2400
12045500,3/31/2025,3:30,2390
12045500,3/31/2025,3:45,2390
12045500,3/31/2025,4:00,2390
12045500,3/31/2025,4:15,2380
12045500,3/31/2025,4:30,2390
12045500,3/31/2025,4:45,2420
12045500,3/31/2025,5:00,2390
12045500,3/31/2025,5:15,2390
12045500,3/31/2025,5:30,2380
12045500,3/31/2025,5:45,2390
12045500,3/31/2025,6:00,2380
12045500,3/31/2025,6:15,2390
12045500,3/31/2025,6:30,2350
12045500,3/31/2025,6:45,2370
12045500,3/31/2025,7:00,2350
12045500,3/31/2025,7:15,2340
12045500,3/31/2025,7:30,2370
12045500,3/31/2025,7:45,2350
12045500,3/31/2025,8:00,2350
12045500,3/31/2025,8:15,2310
12045500,3/31/2025,8:30,2340
12045500,3/31/2025,8:45,2330
12045500,3/31/2025,9:00,2330
12045500,3/31/2025,9:15,2330
12045500,3/31/2025,9:30,2310
12045500,3/31/2025,9:45,2310
12045500,3/31/2025,10:00,2330
12045500,3/31/2025,10:15,2300
12045500,3/31/2025,10:30,2290
12045500,3/31/2025,10:45,2300
12045500,3/31/2025,11:00,2280
12045500,3/31/2025,11:15,2300
12045500,3/31/2025,11:30,2280
12045500,3/31/2025,11:45,2290
12045500,3/31/2025,12:00,2280
12045500,3/31/2025,12:15,2280
12045500,3/31/2025,12:30,2300
12045500,3/31/2025,12:45,2260
12045500,3/31/2025,13:00,2250
12045500,3/31/2025,13:15,2250
12045500,3/31/2025,13:30,2280
12045500,3/31/2025,13:45,2240
12045500,3/31/2025,14:00,2260
12045500,3/31/2025,14:15,2250
12045500,3/31/2025,14:30,2240
12045500,3/31/2025,14:45,2260
12045500,3/31/2025,15:00,2250
12045500,3/31/2025,15:15,2250
12045500,3/31/2025,15:30,2240
12045500,3/31/2025,15:45,2230
12045500,3/31/2025,16:00,2240
12045500,3/31/2025,16:15,2240
12045500,3/31/2025,16:30,2230
12045500,3/31/2025,16:45,2210
12045500,3/31/2025,17:00,2230
12045500,3/31/2025,17:15,2210
12045500,3/31/2025,17:30,2200
12045500,3/31/2025,17:45,2240
12045500,3/31/2025,18:00,2240
12045500,3/31/2025,18:15,2250
12045500,3/31/2025,18:30,2240
12045500,3/31/2025,18:45,2240
12045500,3/31/2025,19:00,2210
12045500,3/31/2025,19:15,2210
12045500,3/31/2025,19:30,2210
12045500,3/31/2025,19:45,2230
12045500,3/31/2025,20:00,2210
12045500,3/31/2025,20:15,2190
12045500,3/31/2025,20:30,2200
12045500,3/31/2025,20:45,2210
12045500,3/31/2025,21:00,2200
12045500,3/31/2025,21:15,2210
12045500,3/31/2025,21:30,2210
12045500,3/31/2025,21:45,2210
12045500,3/31/2025,22:00,2210
12045500,3/31/2025,22:15,2160
12045500,3/31/2025,22:30,2200
12045500,3/31/2025,22:45,2190
12045500,3/31/2025,23:00,2180
12045500,3/31/2025,23:15,2200
12045500,3/31/2025,23:30,2160
12045500,3/31/2025,23:45,2180
12045500,4/1/2025,0:00,2160
12045500,4/1/2025,0:15,2140
12045500,4/1/2025,0:30,2160
12045500,4/1/2025,0:45,2150
12045500,4/1/2025,1:00,2140
12045500,4/1/2025,1:15,2150
12045500,4/1/2025,1:30,2140
12045500,4/1/2025,1:45,2150
12045500,4/1/2025,2:00,2110
12045500,4/1/2025,2:15,2130
12045500,4/1/2025,2:30,2110
12045500,4/1/2025,2:45,2110
12045500,4/1/2025,3:00,2100
12045500,4/1/2025,3:15,2110
12045500,4/1/2025,3:30,2110
